x,y
-122.3898383,37.70747945
-122.372903,37.72771069
-122.3760786,37.73631962
-122.3848096,37.78554621
-122.4046449,37.81041111
-122.4626087,37.80474132
-122.4765562,37.81131691
-122.4858401,37.78957558
-122.4996003,37.78684462
-122.5140376,37.78229598
-122.5027138,37.70732074
