"Key"	"Tunnel.Name.x"	"BORFIC"	"LENGTH.x"	"Corrected.Length"	"Approx.Length"	"Complete"	"Censored"	"HZ.Class"	"Enter.Mex"	"Enter.US"	"Infrastructure"	"Tunnel"	"Nogales"	"SOIL.TYPE.x"	"North"	"East"	"Discovery.Date"	"Width"	"Height"	"Depth"	"Volume"	"Three.Letter"	"AVERAGE.WIDTH.y"	"AVERAGE.HEIGHT.y"	"AVERAGE.DEPTH.y"	"Shoring"	"Lights"	"Dewater"	"Vent"	"SIZE.CLASS"	"DiscDate.DDMMYYYY"	"SOPH"	"Mosaic"	"Mosaic5"	"Loc"
"OTM 2006-1010"	"Otay Mesa #10"	120	190	190	194	"Complete"	"None"	"B3"	"Sewer"	"Outside"	1	0	FALSE	"Sandy Clay"	32.55182	116.93008	"10/10/2006"	-1	-1	-1	0	"OTM"	3	3	3	"y"	"n"	"n"	"n"	"B"	"10/10/2006"	3	"Infra"	"Infra, Other"	"SoCal"
"OTM 2007-0328a"	"Otay Mesa #11"	8	8	8	7	"Incomplete"	"None"	"A1"	"Outside"	"Unk"	0	0	FALSE	"Sandy Clay"	32.549676	116.945439	"03/28/2007"	2.5	2.5	6	50	"OTM"	2.5	2.5	6	"n"	"n"	"n"	"n"	"A"	"28/03/2007"	1	"Crude"	"Crude, Other"	"SoCal"
"OTM 2007-0328b"	"Otay Mesa #12"	2	4	4	4	"Incomplete"	"None"	"A1"	"Outside"	"Unk"	0	0	FALSE	"Sandy Clay"	32.549546	116.946217	"03/28/2007"	2.5	2.5	4	12.5	"OTM"	2.5	2.5	4	"n"	"n"	"n"	"n"	"A"	"28/03/2007"	1	"Crude"	"Crude, Other"	"SoCal"
"OTM 2007-0621"	"Otay Mesa #13"	31	30	31	29	"Incomplete"	"None"	"A1"	"Outside"	"Unk"	0	0	FALSE	"Sandy Clay"	32.55135	116.92788	"06/21/2007"	3	3	3	279	"OTM"	3	3	3	"n"	"n"	"n"	"n"	"A"	"21/06/2007"	1	"Crude"	"Crude, Other"	"SoCal"
"OTM 2009-0221"	"Chula Vista #1"	-1	-1	-1	-1	"Complete"	NA	""	"Sewer"	"Sewer"	1	0	FALSE	""	31.33261	110.94916	"02/21/2009"	-1	-1	-1	0	"OTM"	NA	NA	NA	""	""	""	""	""	"21/02/2009"	1	"Infra"	"Infra, Other"	"SoCal"
"SLS 2007-0917"	"San Luis #1"	250	322	322	323	"Incomplete"	"None"	"B2"	"Bldg"	"Unk"	0	0	FALSE	"Sand"	32.4913888888889	114.771194444444	"09/17/2007"	3	5	15	3750	"SLS"	3.5	3.5	15	"y"	"y"	"y"	"y"	"B"	"17/09/2007"	2	"Sophisticated"	"Sophisticated"	"Other"
"SLS 2008-1106"	"San Luis #2"	-1	1200	1200	1196	"Complete"	"None"	"C3"	"Bldg"	"Bldg"	0	0	FALSE	"Sand"	-1	-1	"11/06/2008"	-1	-1	30	0	"SLS"	0	0	30	"n"	"n"	"n"	"n"	"C"	"06/11/2008"	3	"Sophisticated"	"Sophisticated"	"Other"
"SYO 2003-0404"	"San Ysidro #1"	300	83	300	333	"Complete"	"Right"	"B2"	"Bldg"	"Sewer"	1	0	FALSE	"Sandy Clay"	32.542335	117.033292	"04/04/2003"	4	4	10	5600	"SYO"	4	4	3	"y"	"y"	"n"	"y"	"B"	"04/04/2003"	2	"Infra"	"Infra, Other"	"SoCal"
"SYO 2004-0702"	"San Ysidro #2"	20	20	20	20	"Incomplete"	"None"	"B2"	"Outside"	"Unk"	0	0	FALSE	"Sandy Clay"	-1	-1	"07/02/2004"	3	3	3	180	"SYO"	3	3	3	"n"	"n"	"n"	"n"	"B"	"02/07/2004"	2	"Sophisticated"	"Sophisticated"	"SoCal"
"SYO 2004-0707"	"San Ysidro #3"	300	220	300	499	"Complete"	"None"	"B1"	"Bldg"	"Sewer"	1	1	FALSE	"Sandy Clay"	-1	-1	"07/07/2004"	4	4	8	4800	"SYO"	4	4	4	"y"	"y"	"n"	"y"	"B"	"07/07/2004"	1	"Infra"	"Infra, Other"	"SoCal"
"SYO 2006-0109"	"San Ysidro #4"	35	66	66	66	"Complete"	"None"	"A2"	"Outside"	"Outside"	0	0	FALSE	"Sandy Clay"	32.542156	117.033833	"01/09/2006"	2	2	4	140	"SYO"	2	2	4	"y"	"n"	"n"	"n"	"A"	"09/01/2006"	2	"Sophisticated"	"Sophisticated"	"SoCal"
"SYO 2006-0125"	"San Ysidro #5"	15	15	15	17	"Incomplete"	"Right"	"A2"	"Outside"	"Unk"	0	0	FALSE	"Sandy Clay"	32.542044	117.035263	"01/25/2006"	2	2	4	60	"SYO"	2	2	4	"y"	"n"	"n"	"n"	"A"	"25/01/2006"	2	"Sophisticated"	"Sophisticated"	"SoCal"
"SYO 2006-0209a"	"San Ysidro #6"	23	25	25	30	"Incomplete"	"None"	"A1"	"Outside"	"Unk"	0	0	FALSE	"Sandy Clay"	32.542266	117.033035	"02/09/2006"	2.5	2.5	1	143.75	"SYO"	2.5	2.5	1	"n"	"n"	"n"	"n"	"A"	"09/02/2006"	1	"Crude"	"Crude, Other"	"SoCal"
"SYO 2006-0209b"	"San Ysidro #7"	6	12	12	12	"Incomplete"	"None"	"A1"	"Outside"	"Unk"	0	0	FALSE	"Sandy Clay"	32.541832	117.037071	"02/09/2006"	-1	-1	2	0	"SYO"	2	2	2	"n"	"n"	"n"	"n"	"A"	"09/02/2006"	1	"Crude"	"Crude, Other"	"SoCal"
"SYO 2006-0515"	"San Ysidro #8"	100	72	100	72	"Complete"	"Right"	"A2"	"Unk"	"Outside"	0	0	FALSE	"Sandy Clay"	32.542367	117.033226	"05/15/2006"	2.5	2.5	2	625	"SYO"	2.5	2.5	2	"y"	"n"	"n"	"n"	"A"	"15/05/2006"	2	"Sophisticated"	"Sophisticated"	"SoCal"
"SYO 2006-0516"	"San Ysidro #9"	30	58	58	59	"Incomplete"	"Right"	"A1"	"Unk"	"Unk"	0	0	FALSE	"Sandy Clay"	32.542039	117.035219	"05/16/2006"	3	3	1	270	"SYO"	3	3	1	"n"	"n"	"n"	"n"	"A"	"16/05/2006"	1	"Crude"	"Crude, Other"	"SoCal"
"SYO 2006-0525"	"San Ysidro #10"	4	1	1	5	"Incomplete"	"None"	"A1"	"Outside"	"Unk"	0	0	FALSE	"Sandy Clay"	32.542266	117.033035	"05/25/2006"	2.5	2.5	1	25	"SYO"	2.5	2.5	1	"0"	"0"	"0"	"0"	"A"	"25/05/2006"	1	"Crude"	"Crude, Other"	"SoCal"
"SYO 2006-0926"	"San Ysidro #11"	103	43	103	127	"Incomplete"	"None"	"B2"	"Outside"	"Outside"	0	0	FALSE	"Sandy Clay"	32.54216	117.03372	"09/26/2006"	2.5	2.5	4	643.75	"SYO"	2.5	2.5	4	"y"	"n"	"n"	"n"	"B"	"26/09/2006"	2	"Sophisticated"	"Sophisticated"	"SoCal"
"SYO 2006-1023"	"San Ysidro #12"	3	3	3	4	"Incomplete"	"None"	"A1"	"Outside"	"Unk"	1	0	FALSE	"Sandy Clay"	-1	-1	"10/23/2006"	2.5	2.5	4	18.75	"SYO"	2.5	2.5	4	"n"	"n"	"n"	"n"	"A"	"23/10/2006"	1	"Infra"	"Infra, Other"	"SoCal"
"SYO 2008-1210"	"San Ysidro #13"	-1	444	444	103	"Incomplete"	"None"	"B1"	"Outside"	"Outside"	1	0	FALSE	"Sandy Clay"	32.54208	117.03478	"12/10/2008"	4	3	1	1128	"SYO"	4.5	4.5	3.5	"n"	"n"	"n"	"n"	"B"	"10/12/2008"	1	"Infra"	"Infra, Other"	"SoCal"
"SYO 2009-0629"	"San Ysidro #14"	-1	-1	1200	-1	"Complete"	"Right"	""	""	""	0	0	FALSE	""	-1	-1	"06/29/2009"	-1	-1	-1	-1	"SYO"	NA	NA	NA	""	""	""	""	""	"29/06/2009"	NA	"Crude"	"Crude, Other"	"SoCal"
"TDS 2002-0227"	"Tierra Del Sol #1"	1250	790	1250	786	"Complete"	"None"	"C2"	"Bldg"	"Bldg"	0	0	FALSE	"Decomposed Granite"	32.5997222222222	116.346388888889	"02/01/2002"	4	4	65	20000	"TDS"	4	4	7	"y"	"y"	"n"	"y"	"C"	"01/02/2002"	2	"Sophisticated"	"Sophisticated"	"Other"
"TDS 2003-0603"	"Tierra Del Sol #2"	40	185	185	186	"Incomplete"	"None"	"A2"	"Outside"	"Bldg"	0	0	FALSE	"Decomposed Granite"	32.6013888888889	116.334444444444	"06/06/2003"	3	7	15	840	"TDS"	3	7	15	"y"	"n"	"n"	"n"	"A"	"06/06/2003"	2	"Sophisticated"	"Sophisticated"	"Other"
"TEC 2007-1203"	"Tecate #1"	1300	1600	1600	1576	"Complete"	"None"	"C3"	"Bldg"	"Bldg"	0	0	FALSE	"Decomposed Granite"	31.57964	116.62936	"12/03/2007"	3	5	50	19500	"TEC"	3	5.5	31	"y"	"y"	"y"	"y"	"C"	"03/12/2007"	3	"Sophisticated"	"Sophisticated"	"Other"
